id;motorista;cidade_origem;cidade_destino;distancia_km;peso_carga_kg;data_entrega;status;valor_frete
49;Laércio Ribeiro;Fortaleza;Curitiba;1406.6;3591.4;2022-12-24;Em trânsito;2285.6
79;Antônio Barros;Porto Alegre;São Paulo;2245.1;2688.1;04/02/2023;Cancelado;
68;Getúlio Leal;Palmas;Florianópolis;648.4;1625.9;Feb-2022;entregado;
27;Marcos Lima;Rio de Janeiro; Curitiba  ;1594.8;1905.0;21/06/2023;em trânsito ;4119.32
3;Yuri Nunes;Cuiabá;Recife;2134.5;4056.7;Dec-2024;cancelado;5789.11
52;Dario Monteiro;Fortaleza;Cuiabá;1184.6;4617.5;2023-12-27;Em Transito;5326.03
61;Laércio Ribeiro;Manaus;Vitória;375.1;781.2;14/09/2024;Cancelada;7660.05
85;Ricardo Alves;Maceió;Porto Alegre;193.2;2646.4;2024-03-14;EM TRÂNSITO;2143.98
81;Edson Farias;Rio de Janeiro;Cuiabá;2272.8;3719.5;22/10/2024;Cancelada;433.81
83;Wagner Dias;Macapá;Teresina;1444.8;2956.0;2024-03-22;Em trânsito;4843.65
59;Paulo Vieira;Belo Horizonte;Fortaleza;1525.6;4419.4;2024-12-17;cancelado;6119.6
43;Yuri Nunes;Fortaleza;Natal;;3678.5;2023-01-02;Entregue;5302.7
91;Getúlio Leal;Florianópolis;Macapá;;3334.9;2023-06-25;em transito;3907.09
87;Xisto Ferreira;Curitiba;Cuiabá;1274.1;3189.9;Apr-2022;Cancelado;1930.16
36;Celso Pinto;Curitiba;Fortaleza;1475.2;215.2;14/03/2023;Em Transito;6207.31
55;Tiago Rocha;Teresina; Curitiba  ;;921.7;2022-09-24;cancelado;6768.9
37;Zeca Oliveira;Goiânia;Salvador;1783.5;2359.4;Sep-2023;cancelado ;5239.4
15;Ubiratan Melo;São Paulo;Teresina;546.2 km;2628.1;27/07/2024;Entregue;1850.52
64;Xisto Ferreira;São Paulo;Cuiabá;1175.2;97.8;2024-01-17;CANCELADO;6063.67
33;Getúlio Leal;Fortaleza;Porto Alegre;2388.9;3859.3;2023-06-04;Cancelado;
11;  Sandro Costa ;Belém;São Paulo;1392.9;2679.9;2022-10-19;cancelado;4260.5
90;Sandro Costa;Curitiba;Rio de Janeiro;1386.6;2010.7;Nov-2023;Em Transito;7114.87
96;Zeca Oliveira;Goiânia;Salvador;1783.5;2359.4;Sep-2023;cancelado ;5239.4
19;Getúlio Leal;Florianópolis;Macapá;;3334.9;2023-06-25;em transito;3907.09
72;Ricardo Alves;Belo Horizonte;Curitiba;2079.2;3926.5;2022-10-23;entregue;692.0
7;Yuri Nunes;Natal;Fortaleza;;210.9;09/07/2022;CANCELADO;3515.57
31;Dario Monteiro;Rio de Janeiro;Teresina;;1733.8;24/01/2022;cancelado;7126.27
89;Benedito Silva;Vitória;Florianópolis;2181.6;3840.9;18/05/2022;entregüe;4992.73
23;Celso Pinto;Maceió;Manaus;1852.8;2411.9;Oct-2023;entregüe;2722.73
94;Ricardo Alves;Maceió;Porto Alegre;193.2;2646.4;2024-03-14;EM TRÂNSITO;2143.98
74;Haroldo Campos;Goiânia;Salvador;1149.1;3719.0;18/10/2022;Cancelada;3933.02
54;Valmir Souza;Palmas;Maceió;321.3;4301.2;May-2024;Em trânsito;1121.83
