id;nome;departamento;cargo;salario;data_admissao;email;ativo;anos_empresa;faixa_salarial
32;Roberto Cardoso;FINANCEIRO;Assistente;11605.79;2022-09-04;roberto.cardoso@naragroup.com;SIM;3;Sênior
93;Amanda Silva;FINANCEIRO;Coordenador;10032.2;2019-08-09;amanda.silva@naragroup.com;SIM;7;Sênior
52;Jefferson Lima;TI;Estagiário;7387.84;2021-06-13;jefferson.lima@naragroup.com;SIM;5;Pleno
81;Aissa Pereira;TI;Analista;10376.08;2018-11-01;aissa.pereira@naragroup.com;SIM;7;Sênior
7;Patrícia Rocha;FINANCEIRO;Assistente;14859.19;2023-12-29;patrícia.rocha@naragroup.com;SIM;2;Sênior
8;Diego Fernandes;MARKETING;Diretor;7746.46;2018-07-30;diego.fernandes@naragroup.com;NÃO;8;Pleno
6;Bruno Alves;TI;Assistente;6935.41;2021-01-01;bruno.alves@naragroup.com;SIM;5;Pleno
69;Lívia Costa;OPERAÇÕES;Coordenador;9753.7;2019-12-12;lívia.costa@naragroup.com;SIM;6;Sênior
25;Priscila Teixeira;VENDAS;Coordenador;13401.31;2022-08-01;priscila.teixeira@naragroup.com;SIM;4;Sênior
47;Vera Andrade;FINANCEIRO;Assistente;5219.13;2022-04-02;vera.andrade@naragroup.com;SIM;4;Pleno
100;Fábio Sampaio;VENDAS;Analista;3650.49;2022-05-14;fábio.sampaio@naragroup.com;SIM;4;Pleno
94;Guilherme Santos;OPERAÇÕES;Coordenador;7220.62;2022-03-01;sem_email;SIM;4;Pleno
90;Jefferson Pinto;FINANCEIRO;Assistente;14947.59;2018-12-01;jefferson.pinto@naragroup.com;SIM;7;Sênior
49;Raquel Esteves;OPERAÇÕES;Estagiário;3196.95;2019-07-15;raquel.esteves@naragroup.com;SIM;7;Pleno
96;Carla Peixoto;TI;Coordenador;7102.7;2023-11-01;carla.peixoto@naragroup.com;SIM;2;Pleno
4;Rafael Oliveira;RH;Estagiário;4369.98;2023-03-01;rafael.oliveira@naragroup.com;NÃO;3;Pleno
70;César Gomes;OPERAÇÕES;Gerente;12852.17;2020-11-16;sem_email;SIM;5;Sênior
71;Paloma Dias;MARKETING;Diretor;2542.86;2020-09-01;paloma.dias@naragroup.com;NÃO;6;Júnior
85;Viviane Gomes;RH;Diretor;9935.7;2020-05-20;viviane.gomes@naragroup.com;SIM;6;Sênior
58;Hélio Braga;MARKETING;Assistente;3168.67;2022-10-18;sem_email;SIM;3;Pleno
46;Alexandre Lacerda;FINANCEIRO;Estagiário;11962.92;2020-07-29;sem_email;SIM;6;Sênior
98;Beatriz Almeida;OPERAÇÕES;Analista;13331.89;2019-10-24;beatriz.almeida@naragroup.com;SIM;6;Sênior
59;Adriana Leal;RH;Diretor;10727.98;2021-10-01;adriana.leal@naragroup.com;SIM;4;Sênior
43;Elaine Figueiredo;MARKETING;Estagiário;1662.08;2021-07-30;elaine.figueiredo@naragroup.com;SIM;5;Júnior
60;Marcos Vieira;TI;Assistente;9738.68;2024-02-23;marcos.vieira@naragroup.com;SIM;2;Sênior
26;Henrique Dias;MARKETING;Assistente;6615.94;2024-10-01;henrique.dias@naragroup.com;SIM;1;Pleno
80;Fernando Ribeiro;VENDAS;Gerente;6138.06;2020-11-14;fernando.ribeiro@naragroup.com;SIM;5;Pleno
1;Ana Lima;FINANCEIRO;Gerente;9592.43;2020-01-08;ana.lima@naragroup.com;NÃO;6;Sênior
45;Cristiane Tavares;RH;Gerente;8996.09;2021-11-04;cristiane.tavares@naragroup.com;SIM;4;Sênior
44;Matheus Borges;VENDAS;Diretor;13919.92;2022-06-16;matheus.borges@naragroup.com;SIM;4;Sênior
95;Mariana Correia;FINANCEIRO;Assistente;7102.7;2022-01-21;mariana.correia@naragroup.com;SIM;4;Pleno
38;Renato Cavalcante;OPERAÇÕES;Coordenador;9085.42;2020-01-03;renato.cavalcante@naragroup.com;SIM;6;Sênior
74;Luís Monteiro;TI;Analista;5755.08;2018-07-01;luís.monteiro@naragroup.com;SIM;8;Pleno
34;Leandro Reis;OPERAÇÕES;Analista;12386.09;2018-11-01;sem_email;SIM;7;Sênior
84;Samuel Oliveira;VENDAS;Analista;4466.03;2021-08-01;samuel.oliveira@naragroup.com;SIM;5;Pleno
15;Larissa Nunes;MARKETING;Analista;2802.52;2019-08-12;larissa.nunes@naragroup.com;NÃO;7;Júnior
48;Danilo Campos;VENDAS;Gerente;10974.56;2024-01-01;danilo.campos@naragroup.com;SIM;2;Sênior
63;Lorena Pinto;OPERAÇÕES;Gerente;12887.98;2019-01-20;lorena.pinto@naragroup.com;SIM;7;Sênior
62;Pedro Nunes;VENDAS;Diretor;6984.78;2018-12-08;pedro.nunes@naragroup.com;NÃO;7;Pleno
22;Anderson Cruz;RH;Estagiário;11229.79;2020-06-01;sem_email;SIM;6;Sênior
77;Andréia Campos;RH;Assistente;7102.7;2018-08-17;andréia.campos@naragroup.com;SIM;8;Pleno
65;Tatiana Ferreira;TI;Gerente;7102.7;2022-10-30;tatiana.ferreira@naragroup.com;SIM;3;Pleno
30;Paulo Nascimento;RH;Analista;3016.48;2023-12-19;paulo.nascimento@naragroup.com;SIM;2;Pleno
12;Thiago Santos;TI;Assistente;3333.52;2022-07-19;thiago.santos@naragroup.com;SIM;4;Pleno
41;Claudia Ramos;TI;Gerente;7102.7;2023-11-13;claudia.ramos@naragroup.com;SIM;2;Pleno
64;Murilo Cardoso;MARKETING;Gerente;3278.7;2020-01-01;murilo.cardoso@naragroup.com;SIM;6;Pleno
79;Natasha Moura;RH;Gerente;8767.25;2018-10-31;natasha.moura@naragroup.com;SIM;7;Sênior
29;Flávia Azevedo;VENDAS;Estagiário;7102.7;2020-08-05;flávia.azevedo@naragroup.com;SIM;6;Pleno
20;Gustavo Pinto;RH;Analista;3946.54;2018-06-03;gustavo.pinto@naragroup.com;SIM;8;Pleno
66;Rodrigo Farias;OPERAÇÕES;Diretor;6843.64;2023-02-01;rodrigo.farias@naragroup.com;NÃO;3;Pleno
78;Bruno Esteves;VENDAS;Diretor;2557.32;2022-04-04;bruno.esteves@naragroup.com;SIM;4;Júnior
89;Keila Mendes;TI;Coordenador;7102.7;2018-10-01;keila.mendes@naragroup.com;SIM;7;Pleno
92;Déborah Cunha;RH;Assistente;8191.9;2019-02-01;déborah.cunha@naragroup.com;SIM;7;Sênior
31;Simone Castro;MARKETING;Estagiário;14707.05;2019-11-01;simone.castro@naragroup.com;SIM;6;Sênior
19;Isabela Mendes;FINANCEIRO;Assistente;12601.96;2022-06-24;isabela.mendes@naragroup.com;SIM;4;Sênior
57;Denise Mota;TI;Gerente;3292.07;2018-02-16;denise.mota@naragroup.com;SIM;8;Pleno
67;Jéssica Lopes;MARKETING;Assistente;7367.99;2023-05-01;jéssica.lopes@naragroup.com;SIM;3;Pleno
51;Mônica Barros;OPERAÇÕES;Diretor;9711.58;2024-08-11;mônica.barros@naragroup.com;SIM;2;Sênior
