id_vendedor,nome,loja
1,Eduardo Araújo,NaraNerd Norteshopping
2,Juliana Almeida,NaraNerd Online
3,Caio Araújo,NaraNerd Online
4,Rodrigo Lima,NaraNerd Norteshopping
5,André Souza,NaraNerd Centro
6,Fernanda Silva,NaraNerd Online
7,Leonardo Lima,NaraNerd Norteshopping
8,Caio Costa,NaraNerd Online
9,Patrícia Teixeira,NaraNerd Centro
10,Juliana Rocha,NaraNerd Shopping Tijuca
11,Tatiane Dias,NaraNerd Centro
12,Marcos Oliveira,NaraNerd Shopping Tijuca
13,Ricardo Dias,NaraNerd Online
14,Caio Silva,NaraNerd Centro
15,Leonardo Almeida,NaraNerd Norteshopping
